0.265,528.925,1055.988,550.498,928.083,723.681,544.264,849.017,104.113,847.793,47.193,979.632,79.294
0.27,539.01,1055.364,560.816,927.851,731.963,542.489,853.861,103.176,850.01,46.734,983.109,74.492
0.275,549.136,1054.833,571.12,927.901,740.391,541.235,858.48,102.34,851.902,46.442,985.998,69.844
0.28,559.176,1054.431,581.365,928.248,749.033,540.355,862.349,101.787,853.451,45.99,989.297,64.607
0.285,569.283,1054.229,591.461,928.764,758.188,540.251,865.698,101.299,854.763,45.688,991.111,60.692
0.29,579.204,1054.227,601.448,929.38,768.278,541.149,868.443,100.701,855.784,45.405,992.508,57.261
0.295,589.441,1054.367,611.287,930.08,778.978,542.481,870.6,100.21,856.571,45.233,994.267,54.098
0.3,599.315,1054.699,620.951,930.841,790.446,544.372,872.519,99.752,857.292,45.079,995.257,51.502
0.305,609.712,1055.207,630.475,931.679,802.146,546.1,874.372,99.389,857.938,45.037,996.244,49.368
0.31,619.892,1055.917,640.006,932.717,813.544,547.777,876.082,99.142,858.481,45.031,997.116,47.366
0.315,630.145,1056.829,649.513,933.955,824.345,549.188,877.708,98.906,858.994,44.997,997.996,45.45
0.32,640.215,1057.791,658.994,935.393,834.311,550.129,877.884,99.09,859.38,45.015,998.674,43.952
0.325,650.031,1059.016,668.387,936.993,843.16,550.929,878.942,99.045,859.69,44.978,999.158,42.787
0.33,659.937,1060.494,677.694,938.507,851.069,551.799,879.748,99.002,859.948,45.008,999.578,41.795
0.335,669.311,1062.122,686.287,940.089,858.354,552.362,880.349,99.017,859.839,45.182,999.85,40.919
0.34,678.699,1063.93,693.032,941.326,864.774,552.795,880.093,99.358,859.987,45.131,999.806,40.268
0.345,687.861,1066.008,701.317,943.113,870.851,552.815,881.4,99.031,860.195,45.148,1000.203,39.757
0.35,697.605,1068.121,709.511,944.889,876.369,552.854,881.765,99.129,860.281,45.138,1000.345,39.366
0.355,707.109,1070.25,717.567,946.576,881.487,552.81,882.114,99.183,860.397,45.143,1000.506,39.028
0.36,715.583,1072.562,725.654,948.275,886.73,552.766,882.48,99.151,860.451,45.188,1000.604,38.702
0.365,723.91,1074.888,733.597,950.006,891.022,552.598,882.226,99.276,860.476,45.186,1000.331,38.372
0.37,732.474,1077.212,741.629,951.811,894.966,552.248,882.546,99.297,860.483,45.249,1000.445,38.105
0.375,740.637,1079.588,749.675,953.671,898.682,551.814,882.912,99.295,860.536,45.322,1000.56,37.873
0.38,749.037,1081.963,757.739,955.616,902.337,551.286,883.269,99.35,860.895,45.315,1000.696,37.563
0.385,757.106,1084.248,765.849,957.701,905.966,550.831,883.663,99.451,860.947,45.45,1000.741,37.455
0.39,765.356,1086.55,774.021,959.786,909.53,550.54,883.978,99.659,860.817,45.824,1000.942,37.34
0.395,773.09,1088.822,782.195,961.867,913.303,550.244,884.39,99.777,861.153,45.642,1000.982,37.261
0.4,781.189,1091.08,788.112,963.486,916.352,550.068,884.716,99.946,861.215,45.818,1001.08,37.205
