Time,il_crest_X,il_crest_Z,grt_troc_X,grt_troc_Z,lat_con_X,lat_con_Z,lat_mall_X,lat_mall_Z,heel_X,heel_Z,5th_mtar_X,5th_mtar_Z,trunk_angle,thigh_angle,shank_angle,foot_angle,hip_angle,knee_angle,ankle_angle,hip_velocity,knee_velocity,ankle_velocity,heel_velo,heel_accel
0.15,0.308015,1.0967,0.322988,0.959982,0.48242,0.563495,0.637656,0.133494,0.646261,0.064962,0.766266,0.120285,96.2499767360755,111.90562882878653,109.85024710559331,97.15670665993181,-15.655652092711037,2.0553817231932214,12.693540445661498,24.066833216255624,-331.85292148411463,0.35311039380871956,0.4119999999999995,2.9499999999999225
0.155,0.316765,1.093844,0.331885,0.957011,0.490705,0.5607519999999999,0.657265,0.13557400000000003,0.667706,0.067016,0.7864740000000001,0.126056,96.30558310771048,111.84083726873021,111.39235559269272,98.65928924981996,-15.535254161019736,0.44848167603748834,12.73306634287276,21.321444922727988,-309.6966788285994,28.896713951314698,0.40840000000000004,-1.5299999999999967
0.16,0.325748,1.0909200000000001,0.340943,0.9541459999999999,0.49923700000000004,0.5580170000000001,0.6762060000000001,0.137504,0.688081,0.06904600000000001,0.8051670000000001,0.131928,96.33931816712621,111.78175581060997,112.82334087570274,99.8408332905281,-15.442437643483757,-1.0415850650927752,12.982507585174645,9.508010427371962,-278.77188519407645,64.39223432582105,0.3966999999999995,-4.57000000000012
0.165,0.334719,1.08803,0.349841,0.951534,0.507804,0.5558379999999999,0.694065,0.139471,0.707036,0.070983,0.8236290000000001,0.13667300000000002,96.32185467917901,111.76202873592503,114.1012659118283,100.72427722569734,-15.440174056746017,-2.3392371759032784,13.376988686130971,-8.13132482854683,-221.10308868604542,58.92420564967575,0.3626999999999988,-10.079999999999991
0.17,0.343902,1.085333,0.35900200000000004,0.9489299999999999,0.51716,0.5543210000000001,0.7106100000000001,0.141225,0.724584,0.072673,0.842226,0.139687,96.31700099241277,111.840751884182,115.09336783613523,101.52161819446383,-15.523750891769225,-3.2526159519532314,13.571749641671403,-1.4048836276643355,-177.89919354188902,49.38066856852297,0.2958999999999995,-17.099999999999856
0.175,0.35304,1.082669,0.36827499999999996,0.946517,0.5260410000000001,0.552849,0.7257480000000001,0.14261000000000001,0.740452,0.073942,0.8578450000000001,0.14269800000000002,96.3846667508786,111.83888964390125,115.95711875522342,102.08632338340722,-15.45422289302266,-4.118229111322165,13.8707953718162,10.228976777419538,-124.99051966703571,29.539781483194417,0.19170000000000056,-23.239999999999892
0.18,0.362333,1.080229,0.377931,0.94414,0.5360349999999999,0.55203,0.739512,0.143248,0.754853,0.07459,0.871905,0.14473,96.53849067983701,111.95995180383204,116.46247295245563,102.59532549595228,-15.42146112399503,-4.502521148623586,13.867147456503346,133.92251641904227,-53.585913518504874,-26.859988410488686,0.063500000000001,-28.359999999999914
0.185,0.371589,1.077938,0.390235,0.942203,0.547771,0.551046,0.751986,0.143076,0.767786,0.074577,0.884683,0.1454,97.8218005471417,111.93679827597394,116.59088652248116,102.98869103476984,-14.114997728832236,-4.654088246507214,13.602195487711313,108.66250834532413,35.20074401216672,-47.99537942872827,-0.09189999999999884,-32.759999999999955
0.19,0.38099900000000003,1.075753,0.400078,0.93988,0.560052,0.5503640000000001,0.763323,0.14228100000000002,0.779278,0.07367100000000001,0.896199,0.144816,97.9930921240946,112.32792816463639,116.47844187313831,103.09124821092225,-14.334836040541788,-4.150513708501919,13.387193662216063,-113.17383911818258,129.38199207762568,-55.006469802427155,-0.26409999999999884,-31.86000000000016
0.195,0.39151600000000003,1.074107,0.409592,0.93767,0.572538,0.549917,0.773534,0.140609,0.789517,0.07193600000000001,0.906479,0.14286600000000002,97.54694061505006,112.79367673506412,116.15394506079508,103.10181427110804,-15.246736120014063,-3.3602683257309565,13.052130789687041,-132.2291167984189,179.4284455350093,-70.37270108900623,-0.41050000000000075,-25.780000000000342
0.2,0.40101400000000004,1.072132,0.419239,0.935759,0.58511,0.550038,0.782593,0.138326,0.798394,0.069566,0.915577,0.13994900000000002,97.61195281397676,113.26908002250273,115.62530927565456,102.94184262432856,-15.657127208525978,-2.356229253151824,12.683466651326,-88.11832200903939,219.88442730317857,-87.50175360148961,-0.5219000000000025,-20.460000000000118
0.205,0.410526,1.0703040000000001,0.428787,0.9341330000000001,0.597689,0.550563,0.79059,0.135512,0.806157,0.066717,0.923515,0.13624100000000003,97.63799232126995,113.7659116613744,114.92733571407358,102.75022246040143,-16.127919340104455,-1.161424052699175,12.177113253672147,-93.23199712964242,241.37850569808893,-97.83190206568993,-0.6151000000000015,-16.059999999999704
0.21,0.420173,1.0685719999999999,0.438291,0.933049,0.609982,0.5510929999999999,0.7976559999999999,0.132456,0.812888,0.063415,0.930251,0.132078,97.614691951839,114.2041391316614,114.14658332783235,102.44143569716324,-16.5894471798224,0.05755580382906089,11.705147630669103,-86.94815343965978,251.63530774029374,-102.36362565735524,-0.6824999999999992,-12.7999999999997
0.215,0.429882,1.066929,0.44788,0.9323049999999999,0.622242,0.551679,0.8039210000000001,0.128957,0.818732,0.059892,0.934694,0.128332,97.61477007710663,114.61217095160768,113.25724192690392,102.10376492980532,-16.997400874501054,1.3549290247037646,11.153476997098593,-70.3907159376086,252.61902552145847,-113.3100863971264,-0.7430999999999987,5.690000000000001
0.22,0.439502,1.065411,0.45741899999999996,0.9318730000000001,0.634004,0.552064,0.809415,0.12545900000000001,0.823903,0.055984000000000006,0.9402050000000001,0.123321,97.64182538013168,114.93517971933016,112.35143366028652,101.77938689358868,-17.293354339198487,2.583746059043648,10.572046766697838,65.36489868441174,212.02911559245175,-76.19271102448685,-0.6255999999999992,44.12999999999978
0.225,0.44922300000000004,1.0641010000000002,0.469098,0.932107,0.6454829999999999,0.552235,0.814611,0.121369,0.8278260000000001,0.053636,0.945309,0.11799,98.56298447382628,114.90673636148321,111.43151618085493,101.0399662940012,-16.343751887656936,3.475220180628284,10.391549886853724,103.00194435934449,195.200415085675,63.28804280907997,-0.3018000000000004,46.71999999999982
0.23,0.45904,1.062838,0.479295,0.9318500000000001,0.6567390000000001,0.552246,0.819156,0.118252,0.829862,0.052966,0.951255,0.111747,98.7901688347615,115.05350373036654,110.51775352046614,99.3128263256775,-16.26333489560504,4.5357502099003995,11.204927194788638,17.775058533493425,203.828903191047,156.13188130202388,-0.1584000000000005,10.49000000000004
0.235,0.46866800000000003,1.061664,0.48932400000000004,0.931421,0.6676799999999999,0.552014,0.823669,0.115497,0.83226,0.052052,0.9552870000000001,0.10731,99.01181637670322,115.17781767902522,109.66430846648647,97.71143976661251,-16.166001302322,5.51350921253875,11.95286869987396,16.236700912539025,188.87541609597244,126.16378530876797,-0.1969000000000002,-3.8399999999999146
0.24,0.478592,1.060508,0.49944600000000006,0.930929,0.6783640000000001,0.551458,0.8278350000000001,0.112868,0.834723,0.050997,0.959318,0.102529,99.1425914104445,115.24355929692415,108.81905492606403,96.35248987818771,-16.10096788647965,6.42450437086012,12.466565047876315,19.945476107348252,166.42338368976212,98.18675069018914,-0.1967999999999996,2.13000000000003
0.245,0.488481,1.0594469999999998,0.509539,0.930332,0.688505,0.55052,0.832016,0.110196,0.837399,0.050084000000000004,0.963606,0.097437,99.26309232249484,115.22963886374336,108.05189581430699,95.11715960753114,-15.966546541248519,7.177743049436373,12.934736206775852,24.035653117918777,131.246300611373,110.70646223184458,-0.1755999999999999,3.2999999999998946
0.25,0.498693,1.05847,0.5196710000000001,0.929756,0.69805,0.549258,0.836292,0.107598,0.840175,0.049241,0.9679500000000001,0.09268300000000002,99.25676201623197,115.11737337153244,107.38040599455859,93.80677632436382,-15.860611355300463,7.736967376973851,13.573629670194762,47.08613582425296,90.26064960703613,166.36806036902655,-0.1638000000000006,3.200000000000003
0.255,0.5086499999999999,1.057567,0.529919,0.92913,0.706934,0.5477569999999999,0.8406230000000001,0.105463,0.8428329999999999,0.048445999999999996,0.972036,0.088339,99.40277561693938,114.89846079994537,106.81811125443863,92.21969444397251,-15.495685183005989,8.080349545506735,14.59841681046612,76.61875934779367,44.49362970622981,312.19753818309044,-0.14359999999999984,3.8500000000000973
